File Name,Best Onset
scam_0037_0670224376_725_ca0_scam01037_hedgehog_____________02p01.wav,very wide soft
scam_0071_0673238158_718_ca0_scam05071_hadahastsaa__________01p01.wav,N/A
scam_0071_0673238205_695_ca0_scam05071_hadahastsaa__________02p01.wav,Original
scam_0086_0674573256_865_ca0_scam05086_naatsiilid___________02p01.wav,Original
scam_0088_0674752882_228_ca0_scam01088_tsostid_tsaadah______01p01.wav,wider 3 sigma
scam_0089_0674854082_617_ca0_scam01089_taa-ihaaih___________01p01.wav,N/A
scam_0104_0676170543_585_ca0_scam05104_ad_ees_eez___________01p01.wav,N/A
scam_0107_0676443644_665_ca0_scam02107_ad_ilidi_____________02p01.wav,wider 3 sigma
scam_0108_0676523575_279_ca0_scam01108_jih__________________01p01.wav,wider 3 sigma
scam_0108_0676523622_180_ca0_scam01108_jih__________________02p01.wav,wider 3p5 sigma
scam_0110_0676702998_588_ca0_scam03110_naakih_tsaadah_______01p01.wav,very wide soft
scam_0110_0676703142_539_ca0_scam03110_naakih_tsaadah_______02p01.wav,N/A
scam_0112_0676881366_146_ca0_scam02112_tseebii______________01p01.wav,Original
scam_0112_0676881514_104_ca0_scam02112_tseebii______________02p01.wav,Original
scam_0113_0676966786_559_ca0_scam01113_mussih_______________01p01.wav,N/A
scam_0113_0676966938_600_ca0_scam01113_mussih_______________02p01.wav,N/A
scam_0127_0678209085_589_ca0_scam01127_kad__________________01p01.wav,wider 3 sigma
scam_0131_0678564491_671_ca0_scam04131_cheval_blanc_________01p01.wav,wider 3p5 sigma
scam_0131_0678564646_684_ca0_scam04131_cheval_blanc_________02p01.wav,N/A
scam_0133_0678742642_430_ca0_scam04133_pierrefeu____________01p01.wav,Original
scam_0133_0678742847_415_ca0_scam04133_pierrefeu____________02p01.wav,wider 3 sigma
scam_0147_0679984828_603_ca0_scam04147_pepin________________01p01.wav,N/A
scam_0151_0680342349_851_ca0_scam01151_charamel_____________02p01.wav,Original
scam_0159_0681050219_854_ca0_scam01159_castillon____________01p01.wav,Original
scam_0159_0681050437_858_ca0_scam01159_castillon____________02p01.wav,Original
scam_0159_0681062056_835_ca0_scam04159_grand_coyer__________02p01.wav,Original
scam_0170_0682026345_821_ca0_scam01170_lattes_______________02p01.wav,N/A
scam_0181_0683003225_821_ca0_scam01181_manior_______________02p01.wav,wider 3 sigma
scam_0183_0683183544_821_ca0_scam01183_sauzeries_hautes_____01p01.wav,N/A
scam_0183_0683183736_826_ca0_scam01183_sauzeries_hautes_____02p01.wav,N/A
scam_0183_0683186320_932_ca0_scam02183_sauzeries_basses_____01p01.wav,N/A
scam_0183_0683186485_901_ca0_scam02183_sauzeries_basses_____02p01.wav,N/A
scam_0184_0683272998_853_ca0_scam03184_sauze________________02p01.wav,N/A
scam_0193_0684066469_854_ca0_scam01193_pont_________________01p01.wav,wider 3p5 sigma
scam_0200_0684689393_585_ca0_scam01200_ondres_______________01p01.wav,wider 3 sigma
scam_0201_0684779623_772_ca0_scam01201_digne________________01p01.wav,wider 3 sigma
scam_0201_0684779800_791_ca0_scam01201_digne________________02p01.wav,Original
scam_0211_0685666540_589_ca0_scam04211_penne________________02p01.wav,N/A
scam_0213_0685844643_151_ca0_scam04213_moustiers_sainte_mar_01p01.wav,N/A
scam_0239_0688151857_681_ca0_scam01239_cheiron______________01p01.wav,N/A
scam_0239_0688152051_670_ca0_scam01239_cheiron______________02p01.wav,Original
scam_0239_0688154484_917_ca0_scam02239_content______________01p01.wav,Original
scam_0242_0688417845_578_ca0_scam04242_pal__________________01p01.wav,N/A
scam_0242_0688418039_588_ca0_scam04242_pal__________________02p01.wav,N/A
scam_0242_0688420559_670_ca0_scam05242_nans_________________01p01.wav,N/A
scam_0242_0688420722_703_ca0_scam05242_nans_________________02p01.wav,N/A
scam_0246_0688773232_591_ca0_scam01246_amignon______________01p01.wav,N/A
scam_0247_0688865095_185_ca0_scam01247_brac_247_____________02p01.wav,Original
scam_0250_0689128711_062_ca0_scam01250_hotel________________01p01.wav,very wide soft
scam_0250_0689128907_101_ca0_scam01250_hotel________________02p01.wav,N/A
scam_0250_0689145560_077_ca0_scam04250_villeneuve___________01p01.wav,N/A
scam_0250_0689145702_059_ca0_scam04250_villeneuve___________02p01.wav,N/A
scam_0253_0689397372_279_ca0_scam02253_valette______________01p01.wav,very wide soft
scam_0253_0689397541_091_ca0_scam02253_valette______________02p01.wav,very wide soft
scam_0255_0689572368_351_ca0_scam01255_ubraye_255___________01p01.wav,wider 3 sigma
scam_0274_0691261308_479_ca0_scam01274_melle________________01p01.wav,N/A
scam_0274_0691261499_530_ca0_scam01274_melle________________02p01.wav,N/A
scam_0274_0691263225_224_ca0_scam03274_chasteuil____________01p01.wav,N/A
scam_0274_0691263402_243_ca0_scam03274_chasteuil____________02p01.wav,very wide soft
scam_0279_0691717551_834_ca0_scam02279_rent_________________01p01.wav,wider 3 sigma
scam_0286_0692324948_436_ca0_scam01286_bezaudun_____________01p01.wav,N/A
scam_0287_0692411661_044_ca0_scam04287_aurent_______________01p01.wav,Original
scam_0287_0692411853_962_ca0_scam04287_aurent_______________02p01.wav,Original
scam_0287_0692414330_040_ca0_scam05287_castiglione__________01p01.wav,wider 3 sigma
scam_0302_0693766635_842_ca0_scam07302_monts_du_cheval_blan_01p01.wav,Original
scam_0302_0693766731_810_ca0_scam07302_monts_du_cheval_blan_02p01.wav,Original
scam_0309_0694365855_967_ca0_scam04309_riez_________________01p01.wav,N/A
scam_0312_0694632787_748_ca0_scam01312_riolan_312___________02p01.wav,N/A
scam_0313_0694724321_603_ca0_scam01313_bessons______________01p01.wav,N/A
scam_0324_0695701995_789_ca0_scam01324_tourtour_____________02p01.wav,wider 3 sigma
scam_0324_0695706092_522_ca0_scam04324_gourdon______________01p01.wav,Original
scam_0328_0696057994_287_ca0_scam05328_brusquet_____________01p01.wav,very wide soft
scam_0328_0696058027_273_ca0_scam05328_brusquet_____________02p01.wav,N/A
scam_0335_0696680688_405_ca0_scam01335_chabran______________01p01.wav,N/A
scam_0335_0696680738_320_ca0_scam01335_chabran______________02p01.wav,N/A
scam_0338_0696944487_786_ca0_scam05338_calandre_338_________01p01.wav,Original
scam_0338_0696944536_824_ca0_scam05338_calandre_338_________02p01.wav,Original
scam_0343_0697389227_661_ca0_scam02343_chanolles____________01p01.wav,N/A
scam_0343_0697389276_654_ca0_scam02343_chanolles____________02p01.wav,N/A
scam_0349_0697921615_569_ca0_scam01349_blache_______________02p01.wav,Original
scam_0361_0698983318_603_ca0_scam01361_naanazwod____________01p01.wav,N/A
scam_0361_0698983364_602_ca0_scam01361_naanazwod____________02p01.wav,N/A
