Unit,File Name,Path,Status,Flagged,Sample Rate (Hz),Samples,Duration (s),Number of Shots,Observation Type,Search Start (s),Search End (s),Onset Sample,Onset (s),Onset Within Shot1 (ms),Peak Sample,Peak Time (s),Peak-Onset Lag (ms),Response Stop (s),Response Duration (ms),Slope (dB/s),Decay Rate (-Slope) (dB/s),R^2,Drop Time (s),C2 (dB),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Peak Frequency (Hz),Rolloff 85% (Hz),Low Power 1-10 kHz,High Power 10-30 kHz,High/Low Ratio,High Frequency Fraction,Total FFT Power
Delta,scam_0422_0704402454_571_ca0_scam04422_kaguyak______________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0422_0704402454_571_ca0_scam04422_kaguyak______________01p02.wav,NO PEAK,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,,,,,,,,,,,,,,,,,,,,,,
Delta,scam_0424_0704579883_996_ca0_scam06424_cape_gull____________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0424_0704579883_996_ca0_scam06424_cape_gull____________01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7255.0,0.07255,12.550000000000006,7301.0,0.07301,0.46,0.08255,9.999999999999995,-4867.96937053898,4867.96937053898,0.9630989070352266,0.0016433957141177005,15.093647199232805,5852.193848929588,2973.8126348732503,4600.0,9400.0,1.2235133884871918,0.16081247418285255,0.1314349934345128,0.11616562572193886,1.3843378640062
Delta,scam_0424_0704582132_115_ca0_scam07424_hook_glacier_________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0424_0704582132_115_ca0_scam07424_hook_glacier_________01p02.wav,NO PEAK,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,,,,,,,,,,,,,,,,,,,,,,
Delta,scam_0425_0704655931_247_ca0_scam01425_angle_creek__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0425_0704655931_247_ca0_scam01425_angle_creek__________01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,6929.0,0.06929,9.290000000000006,6980.0,0.0698,0.51,0.07929,9.999999999999995,-7570.608491289896,7570.608491289896,0.9356591527404422,0.001056718229347631,16.15596475764962,6220.467267158828,2533.948510001615,4900.0,8400.0,14.054168053145597,0.9307236903419778,0.06622403309982221,0.06211045051425405,14.984977288618785
Delta,scam_0442_0706165848_775_ca0_scam15012_aegis_0442a__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0442_0706165848_775_ca0_scam15012_aegis_0442a__________01p02.wav,NO CLEAN ONSET BEFORE PEAK,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7811.0,0.07811,18.11,7811.0,0.07811,0.0,0.08811,9.999999999999995,-5778.32904106436,5778.32904106436,0.5895670526836164,0.0013844832897446787,14.694003536296393,7176.180150266347,2606.0866875143306,8800.0,9200.0,1.0955830148868697,0.11994565274278582,0.10948111746253336,0.09867740126317026,1.2155331535626241
Delta,scam_0442_0706167034_662_ca0_scam15012_aegis_0442b__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0442_0706167034_662_ca0_scam15012_aegis_0442b__________01p02.wav,NO PEAK,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,,,,,,,,,,,,,,,,,,,,,,
Delta,scam_0448_0706711828_368_ca0_scam04448_buzzard_rocks_scam_4_01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0448_0706711828_368_ca0_scam04448_buzzard_rocks_scam_4_01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,6999.0,0.06999,9.989999999999998,7048.0,0.07048,0.49,0.07998999999999999,9.999999999999995,-11458.822480240216,11458.822480240216,0.9039181482332167,0.0006981520146415857,18.713052042977267,6709.626352421618,3581.5876003310245,4500.0,9400.0,2.7513002295085984,0.3989653323302804,0.14500974050423368,0.126642849978647,3.150318651211254
Delta,scam_0449_0706783132_983_ca0_scam15012_aegis_0449a__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0449_0706783132_983_ca0_scam15012_aegis_0449a__________01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7450.0,0.0745,14.499999999999998,7513.0,0.07513,0.63,0.08449999999999999,9.999999999999995,-4418.415379003076,4418.415379003076,0.7792617113255991,0.0018106038735101982,14.05599915287805,6749.762111152893,2903.4675183085064,3800.0,9700.0,1.6657228667913138,0.25735199391169067,0.15449868585128357,0.13381977736629144,1.9231237637413408
Delta,scam_0450_0706879712_991_ca0_scam15012_aegis_0450b__________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0450_0706879712_991_ca0_scam15012_aegis_0450b__________01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7402.0,0.07402,14.020000000000005,7453.0,0.07453,0.51,0.08402,9.999999999999995,-6636.9775361899365,6636.9775361899365,0.786723767035139,0.0012053679489463104,16.66989824139381,6103.282095816509,2593.6422601541776,4000.0,8300.0,1.4587113904848619,0.10498362289760521,0.07197011251328451,0.06713771370803044,1.5637056595963286
Delta,scam_0451_0706979740_413_ca0_scam02451_marys_rock___________01p02.wav,C:\Users\cmkua\Downloads\Concatenated Multishot WAVs\Delta\scam_0451_0706979740_413_ca0_scam02451_marys_rock___________01p02.wav,LONG PEAK-ONSET LAG,True,100000,174000,1.74,29,29-shot,0.06899999999999999,0.079,7007.0,0.07007,10.069999999999995,7271.0,0.07271,2.64,0.08006999999999999,9.999999999999995,-4746.24963429748,4746.24963429748,0.9378080296766278,0.001685541346622432,-34.93901846881522,5741.693912588885,2484.539070653961,3900.0,8000.0,43.65966770915588,3.4450912831153246,0.07890786769302079,0.07313678293037741,47.10476924306174
