Unit,ZIP,FITS,WAV,Status,Number of shots,Samples per shot,Total samples,Duration (s),Error
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0417_0703959189_698_ca0_scam04417_strike_creek_________01p__2.0.zip,scam_0417_0703959189_698_ca0_scam04417_strike_creek_________01p02.fits,scam_0417_0703959189_698_ca0_scam04417_strike_creek_________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0418_0704038328_265_ca0_scam02418_little_beach_________01p__2.0.zip,scam_0418_0704038328_265_ca0_scam02418_little_beach_________01p02.fits,scam_0418_0704038328_265_ca0_scam02418_little_beach_________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0420_0704221258_808_ca0_scam01420_broken_mountain______01p__2.0.zip,scam_0420_0704221258_808_ca0_scam01420_broken_mountain______01p02.fits,scam_0420_0704221258_808_ca0_scam01420_broken_mountain______01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0421_0704313596_618_ca0_scam05421_king_salmon__________01p__2.0.zip,scam_0421_0704313596_618_ca0_scam05421_king_salmon__________01p02.fits,scam_0421_0704313596_618_ca0_scam05421_king_salmon__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0422_0704402454_571_ca0_scam04422_kaguyak______________01p__2.0.zip,scam_0422_0704402454_571_ca0_scam04422_kaguyak______________01p02.fits,scam_0422_0704402454_571_ca0_scam04422_kaguyak______________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0424_0704579883_996_ca0_scam06424_cape_gull____________01p__2.0.zip,scam_0424_0704579883_996_ca0_scam06424_cape_gull____________01p02.fits,scam_0424_0704579883_996_ca0_scam06424_cape_gull____________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0424_0704582132_115_ca0_scam07424_hook_glacier_________01p__2.0.zip,scam_0424_0704582132_115_ca0_scam07424_hook_glacier_________01p02.fits,scam_0424_0704582132_115_ca0_scam07424_hook_glacier_________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0425_0704655931_247_ca0_scam01425_angle_creek__________01p__2.0.zip,scam_0425_0704655931_247_ca0_scam01425_angle_creek__________01p02.fits,scam_0425_0704655931_247_ca0_scam01425_angle_creek__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0425_0704668824_603_ca0_scam04425_lake_coville_________01p__2.0.zip,scam_0425_0704668824_603_ca0_scam04425_lake_coville_________01p02.fits,scam_0425_0704668824_603_ca0_scam04425_lake_coville_________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0425_0704671054_732_ca0_scam05425_sukoi_bay____________01p__2.0.zip,scam_0425_0704671054_732_ca0_scam05425_sukoi_bay____________01p02.fits,scam_0425_0704671054_732_ca0_scam05425_sukoi_bay____________01p02.wav,OK,29,6000,174000,1.74,
