File Name,Expected Time (s),Found,Flagged,Onset (s),Peak Time (s),Lag (ms),Forced Peak
scam_0071_0673238158_718_ca0_scam05071_hadahastsaa__________01p01.wav,0.06,True,True,0.06003,0.06003,0.0,True
scam_0071_0673238158_718_ca0_scam05071_hadahastsaa__________01p01.wav,0.065,True,True,0.06003,0.06003,0.0,True
scam_0071_0673238158_718_ca0_scam05071_hadahastsaa__________01p01.wav,0.07,True,True,0.07141,0.07141,0.0,True
scam_0071_0673238158_718_ca0_scam05071_hadahastsaa__________01p01.wav,0.073,True,True,0.07141,0.07141,0.0,True
scam_0071_0673238158_718_ca0_scam05071_hadahastsaa__________01p01.wav,0.076,True,True,0.06946,0.07141,1.95,False
scam_0071_0673238158_718_ca0_scam05071_hadahastsaa__________01p01.wav,0.08,False,True,,,,
scam_0071_0673238158_718_ca0_scam05071_hadahastsaa__________01p01.wav,0.085,True,True,0.08286,0.08286,0.0,True
scam_0089_0674854082_617_ca0_scam01089_taa-ihaaih___________01p01.wav,0.06,True,False,0.05639,0.0565,0.11,False
scam_0089_0674854082_617_ca0_scam01089_taa-ihaaih___________01p01.wav,0.065,False,True,,,,
scam_0089_0674854082_617_ca0_scam01089_taa-ihaaih___________01p01.wav,0.07,True,True,0.07301,0.07457,1.56,False
scam_0089_0674854082_617_ca0_scam01089_taa-ihaaih___________01p01.wav,0.073,True,True,0.07301,0.07457,1.56,False
scam_0089_0674854082_617_ca0_scam01089_taa-ihaaih___________01p01.wav,0.076,True,True,0.07301,0.07457,1.56,False
scam_0089_0674854082_617_ca0_scam01089_taa-ihaaih___________01p01.wav,0.08,True,True,0.07291,0.07457,1.66,False
scam_0089_0674854082_617_ca0_scam01089_taa-ihaaih___________01p01.wav,0.085,False,True,,,,
scam_0104_0676170543_585_ca0_scam05104_ad_ees_eez___________01p01.wav,0.06,True,True,0.0561,0.06194,5.84,False
scam_0104_0676170543_585_ca0_scam05104_ad_ees_eez___________01p01.wav,0.065,True,True,0.05706,0.06194,4.88,False
scam_0104_0676170543_585_ca0_scam05104_ad_ees_eez___________01p01.wav,0.07,True,True,0.07473,0.07711,2.3800000000000003,False
